#t, p1, p2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, totM_co2 
5.400e+04,113900.000000,108000.000000,0.000000,0.000391,0.005155,0.001563,0.000000,0.000000,0.000000,0.000000,0.966890,0.008340
5.430e+04,113900.000000,108000.000000,0.000000,0.000391,0.005159,0.001563,0.000000,0.000000,0.000000,0.000000,0.967740,0.008340
5.460e+04,113900.000000,108000.000000,0.000000,0.000391,0.005163,0.001563,0.000000,0.000000,0.000000,0.000000,0.967760,0.008340
5.490e+04,113900.000000,108000.000000,0.000000,0.000391,0.005167,0.001563,0.000000,0.000000,0.000000,0.000000,0.967290,0.008340
5.520e+04,113900.000000,108000.000000,0.000000,0.000391,0.005171,0.001563,0.000000,0.000000,0.000000,0.000000,0.966440,0.008340
5.550e+04,113900.000000,108000.000000,0.000000,0.000391,0.005175,0.001563,0.000000,0.000000,0.000000,0.000000,0.965470,0.008340
5.580e+04,113900.000000,108000.000000,0.000000,0.000391,0.005179,0.001563,0.000000,0.000000,0.000000,0.000000,0.964360,0.008340
5.610e+04,113900.000000,108000.000000,0.000000,0.000391,0.005183,0.001563,0.000000,0.000000,0.000000,0.000000,0.963280,0.008340
5.640e+04,113900.000000,108000.000000,0.000000,0.000391,0.005187,0.001563,0.000000,0.000000,0.000001,0.000000,0.962120,0.008350
5.670e+04,113900.000000,108000.000000,0.000000,0.000391,0.005190,0.001563,0.000000,0.000000,0.000001,0.000000,0.960830,0.008350
5.700e+04,113900.000000,108000.000000,0.000000,0.000391,0.005194,0.001563,0.000000,0.000000,0.000001,0.000000,0.959400,0.008350
5.730e+04,113900.000000,108000.000000,0.000000,0.000391,0.005198,0.001563,0.000000,0.000000,0.000001,0.000000,0.957890,0.008350
5.760e+04,113900.000000,108000.000000,0.000000,0.000391,0.005202,0.001563,0.000000,0.000000,0.000001,0.000000,0.956250,0.008350
5.790e+04,113900.000000,108000.000000,0.000000,0.000391,0.005205,0.001563,0.000000,0.000000,0.000001,0.000000,0.954580,0.008350
5.820e+04,113900.000000,108000.000000,0.000000,0.000391,0.005209,0.001563,0.000000,0.000000,0.000001,0.000000,0.953000,0.008350
5.850e+04,113900.000000,108000.000000,0.000000,0.000391,0.005212,0.001563,0.000000,0.000000,0.000001,0.000000,0.951400,0.008350
5.880e+04,113900.000000,108000.000000,0.000000,0.000391,0.005216,0.001563,0.000000,0.000000,0.000001,0.000000,0.949770,0.008350
